HGNC symbol,Chromosome Name,Gene Start (bp),Gene End (bp)
MIR4432,2,60614497,60614580
MIR4638,5,180649566,180649633
MIR4527,18,44906867,44906936
RNA5SP508,X,75875410,75875528
RNA5SP437,17,30290824,30290952
MIR4283-1,7,57023492,57023571
MIR4283-2,7,57023492,57023571
MIR374A,X,73507121,73507192
SNORD91A,17,2233570,2233664
SNORD110,20,2634858,2634932
RNU1-6,1,147511004,147511167
RNA5SP486,20,46501935,46502017
RNA5SP302,10,14705394,14705493
SNORD115-1,15,25415870,25415951
RNA5SP493,22,22146723,22146813
MIR4665,9,6007826,6007904
MIR548H3,17,13446846,13446963
SNORD111B,16,70563412,70563491
SNORD14C,11,122930043,122930130
MIR1324,3,75679914,75680009
MIR3680-1,16,21517370,21517456
MIR3680-2,16,21517370,21517456
MIR4462,6,37523141,37523198
MIR3928,22,31556048,31556105
MIR890,X,145075793,145075869
SNORD32B,6,29550026,29550109
RNA5SP364,12,88445478,88445555
MIR191,3,49058051,49058142
TERC,3,169482398,169482835
MIR1302-1,12,113132839,113132981
MIR4701,12,49165758,49165820
MIR516B1,19,54240099,54240188
RNA5S9,1,228763895,228764013
RNA5SP205,6,19438514,19438649
MIR190A,15,63116156,63116240
MIR4646,6,31668806,31668868
MIR579,5,32394484,32394581
MIR1289-1,20,34041776,34041919
MIR488,1,176998499,176998581
RNA5SP30,13,58565484,58565598
RNA5SP160,4,40992171,40992290
RNA5SP243,7,128337764,128337798
SNORA38B,17,65736785,65736915
MIR5580,14,54415145,54415202
SNORD115-13,15,25438468,25438549
RNU4-7P,6,150647759,150647899
MIR4732,17,27188673,27188748
MIR520D,19,54223350,54223436
SNORD88B,19,51302289,51302379
MIR3122,1,212250955,212251027
SNORD116-9,15,25318254,25318348
SNORA70F,2,165544153,165544287
RNA5SP121,2,228627768,228627868
MIR4694,11,19781550,19781629
MIR4646,HSCHR6_MHC_SSTO,31658768,31658830
MIR378H,5,154209018,154209100
MIR3140,4,153410479,153410568
RNA5SP348,11,104123307,104123343
MIR3168,13,41675155,41675236
SNORA19,10,120819523,120819650
MIR1261,11,90602289,90602370
RNA5SP368,12,102173592,102173707
RNA5SP450,18,9923917,9924018
MIRLET7D,9,96941116,96941202
MIR3162,11,59362550,59362631
MIR5003,5,172089168,172089266
MIR1266,15,52569314,52569397
SNORD114-3,14,101419686,101419760
MIR4419A,1,23384351,23384427
MIR561,2,189162219,189162315
SNORD84,HSCHR6_MHC_MCF,31585228,31585305
MIR504,X,137749872,137749954
RNA5SP397,15,61028968,61029085
MIR651,X,8095006,8095102
SNORD116-22,15,25335070,25335161
SNORD115-6,15,25425644,25425725
SNORD118,17,8076772,8076905
MIR548AQ,3,185485635,185485692
RNU7-80P,1,68238276,68238336
SNORD116-29,15,25351668,25351750
SNORA11C,X,47248048,47248176
MIR550A1,7,30329410,30329506
RNU7-51P,14,83514923,83514984
RNA5SP335,11,19423419,19423528
MIR512-1,19,54169927,54170024
MIR4468,7,137808504,137808567
MIR181A1,1,198828173,198828282
RNU7-73P,3,37614642,37614704
RNA5SP377,12,132145608,132145719
MIR3614,17,54968631,54968716
MIR32,9,111808509,111808578
RNA5SP71,1,182913500,182913625
MIR25,7,99691183,99691266
RNU7-34P,5,118093906,118093969
RNA5SP298,10,327955,328065
MIR4294,10,50193557,50193632
RNA5SP321,10,79346807,79346917
RNU6-30,X,100888994,100889100
RNA5SP374,12,119267486,119267610
MIR1304,11,93466840,93466930
SNORD105B,19,10220433,10220511
MIR3689D1,9,137741455,137741528
SNORD11,2,203157772,203157859
MIR614,12,13068763,13068852
RNU6-82,13,28806638,28806744
MIR4672,9,130631694,130631774
RNA5SP227,7,22338213,22338325
MIR657,17,79099076,79099173
MIR3714,3,16974688,16974752
RNA5SP340,11,47825848,47825954
RNA5SP329,11,6038226,6038344
SNORD3A,17,19091329,19091544
SNORD58C,18,47015615,47015678
MIR372,19,54291144,54291210
SNORA67,17,7481273,7481409
MIR130B,22,22007593,22007674
MIR509-1,X,146342050,146342143
MIR5587,16,585316,585368
RNU7-6P,20,50521508,50521569
MIR4714,15,99327655,99327731
RNA5SP179,5,16854103,16854223
RNA5SP250,7,152290058,152290176
MIR3159,11,18409334,18409407
MIR19B2,X,133303701,133303797
MIR5189,16,88535326,88535439
MIR518C,19,54211989,54212089
MIR378G,1,95211416,95211456
RNA5SP363,12,80272085,80272199
SCARNA1,1,28160912,28161077
SNORD76,1,173835772,173835853
SNORA11E,X,51806443,51806570
MIR200C,12,7072862,7072929
MIR557,1,168344762,168344859
RNU5D-1,1,45196727,45196842
RNA5SP263,8,32114012,32114139
SNORD115-45,15,25509657,25509737
RNU6-57,13,41928693,41928795
MIR4513,15,75081013,75081098
RNA5-8SP3,9,111754689,111754849
MIR647,20,62573984,62574079
MIR671,7,150935507,150935624
RNA5SP101,2,97622445,97622552
MIR5197,5,143059425,143059536
MIR520E,19,54178965,54179051
RNU6-17,15,30546605,30546711
RNY4P8,17,38399475,38399571
SNORD126,14,20794609,20794685
MIR1224,3,183959193,183959277
RNU7-3P,6,149838092,149838153
RNA5SP21,1,78245589,78245684
SNORD38A,1,45243515,45243584
RN7SKP3,13,45634864,45635221
MIR4668,9,114694380,114694449
MIR1-1,20,61151510,61151586
RNA5S11,1,228768378,228768496
RNA5SP304,10,23286184,23286287
MIR4279,5,31936208,31936265
MIR3649,12,1769481,1769546
MIR3940,19,6416421,6416522
SNORD80,1,173833965,173834046
RNA5SP521,Y,19671654,19671769
RNA5SP91,2,33510836,33510954
MIR422A,15,64163129,64163218
RNA5SP334,11,18287940,18288057
RNA5SP106,2,148471024,148471123
MIR3689F,9,137742588,137742653
MIR545,X,73506939,73507044
MIR5689,6,10439950,10440027
RNA5SP98,2,77000035,77000171
RNA5SP182,5,51182522,51182603
MIR320C1,18,19263471,19263558
MIR3929,18,33514051,33514105
RNA5SP289,9,98667287,98667423
MIR526A2,19,54230176,54230240
MIR3689D2,9,137742123,137742202
RNU5E-8P,3,116683959,116684074
RNY3P9,13,40800964,40801069
MIR409,14,101531637,101531715
MIR5095,1,53400602,53400689
SNORA66,1,93306276,93306408
SNORA20,6,160201282,160201413
RNA5SP150,3,181540660,181540778
MIR1271,5,175794949,175795034
MIR101-2,9,4850291,4850381
MIR5590,2,135615390,135615443
SNORA69,X,118921316,118921447
MIR4761,22,19951276,19951357
MIR4766,22,41209887,41209962
RNA5-8SP5,2,133010727,133010878
RNA5S5,1,228754979,228755097
SNORD116-23,15,25336933,25337024
RNU7-52P,17,60460465,60460527
SNORD62B,9,134365873,134365958
MIR1200,7,36958962,36959037
MIR4635,5,1063011,1063089
MIR1207,8,129061398,129061484
MIR588,6,126805777,126805859
SNORA71A,20,37055952,37056085
RNA5SP306,10,26102740,26102846
MIR144,17,27188551,27188636
MIR652,X,109298557,109298654
MIR1226,3,47891045,47891119
MIR4330,X,150336694,150336798
MIR1225,16,2140196,2140285
RNU7-70P,1,113177341,113177406
MIR891B,X,145082571,145082649
MIR7-3,19,4770682,4770791
MIR3655,5,140027429,140027511
MIR920,12,24365355,24365429
SNORA70B,2,61644379,61644513
RNA5SP133,3,56219132,56219250
RNA5SP337,11,21405347,21405455
MIR548AJ2,X,37883148,37883239
RNY4P3,16,50132175,50132269
MIR4776-2,2,213790981,213791060
MIR4776-1,2,213790981,213791060
MIR4743,18,46196971,46197039
RNU7-69P,X,122905928,122905989
MIR3158-1,10,103361174,103361254
MIR3158-2,10,103361174,103361254
RNU1-19P,10,88649326,88649490
MIR4669,9,137271257,137271318
SNORA70E,11,82752506,82752640
RNA5SP375,12,123767463,123767581
MIR4283-1,HG736_PATCH,57023478,57023557
MIR4283-2,HG736_PATCH,57023478,57023557
SNORD116-20,15,25332809,25332900
MIR3650,5,38557604,38557663
MIR301B,22,22007270,22007347
SNORD43,22,39715055,39715118
MIR548AM,X,16645135,16645208
MIR548I3,8,7946463,7946611
RNA5SP56,1,118806995,118807112
MIR4671,1,234442213,234442285
RNU7-20P,7,148518104,148518165
MIR5694,14,67908572,67908647
MIR548J,22,26951178,26951289
MIR3918,6,159185693,159185785
MIR3135B,HSCHR6_MHC_APD,32702571,32702638
RNA5SP277,8,120903372,120903469
RNA5SP395,15,50755578,50755695
SNORD116-28,15,25349789,25349879
MIR3119-1,1,170120519,170120603
MIR3119-2,1,170120519,170120603
MIR3135A,3,20179057,20179133
MIR328,16,67236224,67236298
RNY4P23,X,69616129,69616225
MIR378I,22,42319226,42319301
RNU7-50P,11,3802625,3802686
RNA5SP109,2,163353446,163353561
RNA5SP46,1,43662088,43662207
SNORD7,17,33900676,33900772
RNA5SP170,4,166974339,166974439
MIR4783,2,128181113,128181194
MIR4634,5,174178737,174178790
MIR4700,12,121160996,121161069
SNORA60,20,37078013,37078146
MIR1197,14,101491901,101491988
MIR612,11,65211929,65212028
MIR605,10,53059333,53059415
MIR323B,14,101522556,101522637
MIR4436B1,2,110844010,110844100
MIR4436B2,2,110844010,110844100
MIR1227,19,2234061,2234148
MIR544B,3,124451286,124451363
MIR380,14,101491331,101491441
MIR4784,2,132248733,132248809
RNA5SP503,X,48065693,48065809
MIR548D2,17,65467605,65467701
SNORD114-30,14,101458256,101458327
RNA5SP501,X,32120182,32120293
MIR4478,9,124882361,124882446
MIR640,19,19545872,19545967
MIR4755,20,32636925,32636996
MIR3678,17,73402150,73402243
RNA5SP135,3,68932118,68932242
SNORD115-16,15,25444595,25444676
SNORD115-18,15,25448374,25448455
RNA5SP220,6,140479728,140479831
MIR5582,11,46774675,46774742
SNORD36A,9,136217311,136217383
RNA5SP293,9,110681147,110681259
RNU6-31,X,140212215,140212321
SNORD116-8,15,25315579,25315673
MIR4659B,8,6602685,6602765
MIR4659A,8,6602685,6602765
RNA5SP288,9,97904731,97904823
RNA5SP412,16,34981143,34981265
RNA5SP307,10,26798518,26798633
RNU7-23P,11,66687233,66687294
MIR628,15,55665138,55665232
SNORA63,3,186505089,186505220
MIR4720,16,81418623,81418698
SNORD114-14,14,101438440,101438514
RNA5SP312,10,47222341,47222456
MIR3665,13,78272147,78272251
MIR554,1,151518272,151518367
MIR3151,8,104166842,104166917
MIR34C,11,111384164,111384240
RNA5SP444,17,64263861,64263966
MIR4322,19,10341089,10341161
MIR142,17,56408593,56408679
MIR4467,7,102111916,102111978
SNORA31,13,45911615,45911744
RNA5SP476,20,18414486,18414588
MIR5701-2,15,22156766,22156847
MIR5701-1,15,22156766,22156847
RNA5SP325,10,108729779,108729908
MIR216A,2,56216085,56216194
MIR5004,6,33406108,33406214
SNORD103A,1,31408535,31408620
SNORD19,3,52723264,52723331
RNU6-33,4,89605999,89606105
MIR4452,4,87463635,87463705
RNU1-17P,5,180156586,180156737
RNA5SP315,10,49248476,49248591
MIR3934,6,33665905,33666011
MIR889,14,101514238,101514316
MIR1972-1,16,15104178,15104254
MIR675,11,2017980,2018074
MIR4310,15,42158693,42158749
MIR4509-2,HSCHR15_1_CTG4,28747518,28747611
MIR4509-3,HSCHR15_1_CTG4,28747518,28747611
MIR4509-1,HSCHR15_1_CTG4,28747518,28747611
SNORD49A,17,16343350,16343420
RNA5SP446,17,64891608,64891689
MIR429,1,1104385,1104467
MIR3202-1,X,153246548,153246628
MIR3202-2,X,153246548,153246628
MIR1286,22,20236657,20236734
MIR1289-2,5,132763288,132763398
RNA5SP261,8,31455615,31455720
MIR147B,15,45725248,45725327
MIR1180,17,19247819,19247887
SNORD27,11,62622484,62622555
MIR646,20,58883532,58883625
MIR551B,3,168269642,168269737
MIR5010,17,40666206,40666325
RNU12-2P,X,46992070,46992225
SNORA50,16,58593700,58593835
SNORA70G,12,69021014,69021155
MIR365A,16,14403142,14403228
MIR636,17,74732532,74732630
RNA5SP430,16,75894946,75895055
RNA5SP497,22,33031088,33031184
MIR3910-2,9,94398533,94398643
MIR3910-1,9,94398533,94398643
MIR4648,7,2566708,2566779
MIR152,17,46114527,46114613
MIR5697,1,10027439,10027516
MIR548X,21,20058408,20058482
MIR4788,3,134156669,134156748
SNORD86,20,2636743,2636828
MIR4480,10,12620752,12620822
RNU5E-1,1,11968209,11968328
MIR1277,X,117520357,117520434
MIR4649,7,44150448,44150511
RN7SKP2,13,40981259,40981577
MIR568,3,114035322,114035416
RNU5E-5P,12,101860483,101860598
MIR4640,6,30858660,30858749
RNA5SP491,21,38224211,38224328
MIR1306,22,20073581,20073665
MIR4444-1,2,178077454,178077527
SNORD35B,19,50000977,50001063
MIR4674,9,139440625,139440711
RNA5SP440,17,36888055,36888173
MIR4713,15,51534387,51534461
MIR1284,3,71591121,71591240
RNU7-81P,2,55077426,55077489
MIR493,14,101335397,101335485
RNA5SP174,4,190936293,190936410
MIR338,17,79099677,79099755
SNORD116-14,15,25325289,25325380
MIR548F5,X,32659591,32659676
MIR1269A,4,67142542,67142646
RNA5SP271,8,73269963,73270050
MIR762,16,30905224,30905306
RNU6-45,11,63737942,63738048
RNA5SP87,2,22561758,22561875
MIR4459,5,53371348,53371413
MIR515-2,19,54188263,54188345
MIR3691,6,5148467,5148556
MIR4641,6,41566461,41566526
MIR520H,19,54245766,54245853
MIR607,10,98588426,98588521
MIR3167,11,126858354,126858438
RNA5SP488,21,15443192,15443307
MIR1254-2,10,23682334,23682396
RNA5SP74,1,204531541,204531649
RNA5SP38,13,106807721,106807839
MIR4313,15,76054556,76054656
RNA5SP244,7,129396106,129396217
MIR3165,11,71783274,71783348
MIR4448,3,183604588,183604673
RNA5SP123,3,12552594,12552712
RNY4P6,11,116886613,116886708
RNA5SP249,7,147546976,147547074
RNA5SP287,9,84500411,84500513
MIR4779,2,86420149,86420231
MIR5002,3,123851776,123851872
MIR5009,15,90427163,90427262
MIR1233-1,15,34674270,34674351
MIR4464,6,91022461,91022552
MIR4421,1,51525509,51525577
RNA5SP57,1,146124161,146124283
RNU4ATAC,2,122288457,122288583
RNY4P27,13,95988360,95988455
MIR2114,X,149396239,149396318
RNU7-46P,2,99457138,99457199
MIR548A1,6,18572015,18572111
RNA5SP180,5,17157080,17157180
RNA5SP480,20,29944673,29944781
MIR3127,2,97464015,97464090
MIR4484,10,127508309,127508391
RNA5S12,1,228770618,228770736
MIR3916,1,247365269,247365362
MIR3613,13,50570551,50570637
MIR3926-2,8,12584741,12584813
MIR3926-1,8,12584741,12584813
MIR507,X,146312502,146312595
MIR518D,19,54238131,54238217
MIR4512,15,66789296,66789372
VTRNA1-2,5,140098510,140098598
MIR376A1,14,101507104,101507206
SNORD65,17,16344540,16344612
RNA5SP428,16,66335712,66335843
SNORD64,15,25230247,25230313
MIR125A,19,52196507,52196592
MIR4640,HSCHR6_MHC_MCF,30937220,30937309
MIR194-2,11,64658827,64658911
RNA5SP494,22,26111008,26111136
RNA5SP433,16,84296421,84296534
RNA5SP352,11,124506355,124506488
SNORA45,11,8706986,8707116
MIR1272,15,65054586,65054714
MIR4295,10,114393929,114394013
RNU6ATAC,9,137029561,137029686
RNA5SP175,4,190938851,190938969
SNORD94,2,86362993,86363129
RNA5SP47,1,45397995,45398103
MIR126,9,139565054,139565138
RNU5B-2P,3,40540382,40540494
RNA5SP253,8,11944905,11944954
RNA5SP231,7,68188898,68189035
RNA5SP239,7,116584340,116584468
MIR4802,4,40504057,40504136
MIR1250,17,79106996,79107108
MIR103A1,5,167987897,167987982
RNU6-73,13,28402900,28403006
SNORA6,3,39449880,39450030
MIR4297,10,131641563,131641638
MIR9-3,15,89911248,89911337
MIR720,3,164059129,164059238
RNA5SP201,6,3088920,3089043
MIR1234,8,145625476,145625559
SNORA43,9,139620557,139620686
MIR3670-1,16,15001574,15001638
MIR3670-2,16,15001574,15001638
RNU1-23P,20,24217891,24218034
MIR943,4,1988111,1988204
SNORD127,14,45580086,45580171
MIR4509-2,15,22675148,22675241
MIR4509-3,15,22675148,22675241
MIR4509-1,15,22675148,22675241
MIR383,8,14710947,14711019
MIR1825,20,30825598,30825650
MIR4254,1,32224261,32224336
SNORD114-12,14,101435285,101435359
RNU1-12P,1,147860642,147860803
VTRNA1-1,5,140090860,140090958
SNORA64,16,2012974,2013107
MIR339,7,1062569,1062662
RNY3P2,13,49669527,49669628
RNU6-80,13,73280155,73280261
RNU5A-4P,13,34403676,34403786
SNORA9,7,45024977,45025109
MIR874,5,136983261,136983338
RNY4P10,6,33167378,33167472
MIR4773-1,2,152224848,152224925
MIR4773-2,2,152224848,152224925
MIR1827,15,78330873,78330937
MIR1273A,8,101036210,101036312
RNU6-12,8,119988752,119988858
SNORD115-5,15,25423885,25423966
MIR3183,17,925716,925799
RNA5SP32,13,72552226,72552344
SNORD115-15,15,25442723,25442803
SNORA12,10,101996913,101997059
MIR4439,2,225875178,225875257
MIR637,19,3961412,3961510
RNA5SP314,10,48931789,48931904
MIR124-3,20,61809852,61809938
SNORD115-34,15,25477534,25477615
SNORD78,1,173834760,173834824
MIR146A,5,159912359,159912457
MIR3118-5,21,15017096,15017171
MIR4418,1,22592732,22592793
MIR764,X,113873918,113874002
MIR518B,19,54205991,54206073
MIR3652,12,104324203,104324333
MIR1228,12,57588287,57588359
MIR4705,13,102698284,102698354
MIR4708,14,65801835,65801901
MIR4693,11,103720634,103720708
RNA5SP292,9,109606030,109606147
RNA5SP49,1,63652007,63652121
MIR3125,2,12877493,12877570
MIR4447,3,116569124,116569214
SNORD114-6,14,101423503,101423574
RNA5SP425,16,47539343,47539454
MIR520G,19,54225420,54225509
MIR4786,2,240882432,240882511
SNORD114-1,14,101416170,101416241
MIR4643,6,92231378,92231455
MIR4684,1,23046010,23046091
MIR29A,7,130561495,130561580
SNORA80,21,33749496,33749631
MIR29B1,7,130562218,130562298
MIR302E,11,7255997,7256068
MIR4308,14,55344831,55344911
RNA5SP251,8,3558014,3558150
MIR1910,16,85775227,85775306
MIR136,14,101351034,101351125
MIR4650-1,7,66579309,66579384
MIR4650-2,7,66579309,66579384
MIR3115,1,23370798,23370865
SNORD91B,17,2232413,2232507
RNU6-50,X,46377201,46377303
MIR3173,14,95604256,95604323
MIR4276,4,175344946,175345015
MIR4319,18,42550047,42550131
MIR3147,7,57472731,57472796
MIR5190,18,13459946,13460025
MIR4780,2,88382038,88382118
RNA5SP474,20,5079033,5079122
RNU7-31P,17,5417529,5417590
SNORD115-12,15,25436563,25436644
MIR3156-3,21,14778705,14778781
MIR4268,2,220771223,220771286
MIR29B2,1,207975788,207975868
MIR3939,6,167411295,167411400
MIR138-1,3,44155704,44155802
RNU7-27P,7,127984135,127984196
RNU6-8,3,98523822,98523928
MIR346,10,88024451,88024545
RNU12,22,43011250,43011399
MIR5687,5,54804678,54804754
MIR1237,11,64136074,64136175
RNA5SP200,5,172719520,172719622
RNA5SP112,2,178003427,178003525
SNORA34,12,49048165,49048301
RNA5SP350,11,110910822,110910932
SNORA79,14,81669039,81669178
RNA5SP188,5,101466711,101466839
RNA5SP93,2,56462352,56462465
MIR3686,8,130496303,130496388
SNORD114-31,14,101459573,101459647
MIR4506,14,94414572,94414648
MIR378D2,8,94928250,94928347
MIR4741,18,20513312,20513401
SNORD66,3,184043484,184043559
MIR3169,13,61773932,61774014
MIR4314,17,7991374,7991465
RNY4P28,13,60761872,60761964
MIR4685,10,100191049,100191117
MIR4690,11,65403781,65403840
RNA5SP303,10,19922612,19922741
MIR3915,X,32601773,32601869
RNA5SP295,9,115014538,115014658
MIR5707,7,158384308,158384388
RNU7-28P,11,9865362,9865423
RNA5SP81,1,242297574,242297683
SCARNA8,9,19063654,19063784
RNA5SP300,10,12966679,12966785
RNA5SP62,1,163438286,163438395
MIR33B,17,17717150,17717245
RNU5F-7P,X,15934312,15934426
RNY4P2,17,41084865,41084959
RNY4P17,4,169926400,169926495
RNA5SP156,4,11415675,11415784
MIR4747,19,4932699,4932752
RNA5SP362,12,66460001,66460118
MIR1260A,14,77732561,77732633
MIR125B2,21,17962557,17962645
RNA5SP76,1,219935131,219935217
MIR3924,10,59064239,59064319
MIR122,18,56118306,56118390
MIR211,15,31357235,31357344
MIR520F,19,54185413,54185499
MIR4644,6,170639849,170639932
SNORA11D,X,51933717,51933844
RNY4P16,1,234973720,234973820
MIR331,12,95702196,95702289
SNORA3,11,8705774,8705903
MIR181D,19,13985689,13985825
SNORD115-35,15,25479394,25479475
MIR4327,21,31747612,31747696
RNU4-2,12,120729566,120729706
MIR1292,20,2633423,2633488
RNU6-74,13,42479254,42479360
SNORA25,11,93463679,93463812
SNORD77,1,173835438,173835509
RNA5SP438,17,32447075,32447186
MIR1203,17,46233789,46233873
MIR759,13,53384179,53384274
RNA5SP169,4,152892649,152892765
RNU6ATAC5P,4,73892465,73892590
RNA5S8,1,228761656,228761774
MIR4515,15,83736087,83736167
MIR205,1,209605478,209605587
MIR337,14,101340830,101340922
MIR3196,20,61870131,61870194
MIR4999,19,8454174,8454264
RNA5SP139,3,127682451,127682567
MIR1285-1,7,91833329,91833412
MIR4428,1,237634419,237634491
RNY3P10,13,70377072,70377173
MIR4293,10,14425199,14425276
RNU6-75,13,91434020,91434123
MIR2116,15,59463382,59463461
MIR3617,20,44333741,44333819
RNA5S13,1,228772843,228772961
RNA5SP327,10,112520900,112521000
RNA5SP52,1,87918923,87919056
RNA5SP115,2,201713761,201713867
RNY1P6,13,52160560,52160668
RNA5SP310,10,46351755,46351870
MIR4801,4,37243532,37243613
MIR3618,22,20073269,20073356
MIR5004,HSCHR6_MHC_SSTO,33545496,33545602
MIR618,12,81329515,81329612
RNA5SP84,2,11657523,11657629
MIR3690,X,1412811,1412885
RNA5SP102,2,125690492,125690597
MIR193A,17,29887015,29887102
RNU7-84P,8,107742023,107742084
RNU5A-2P,4,82255457,82255572
MIR593,7,127721913,127722012
MIR5096,4,79741906,79741975
MIR542,X,133675371,133675467
MIR548AH,4,77496704,77496779
MIR660,X,49777849,49777945
SCARNA6,2,234197322,234197586
SNORD84,6,31508878,31508955
MIR519A2,19,54265598,54265684
MIR5692A2,7,97592970,97593038
MIR5692A1,7,97592970,97593038
MIR5187,1,161196976,161197051
MIR548AE1,2,185243702,185243771
RNA5SP117,2,209785271,209785388
RNA5SP221,6,143770946,143771048
RNA5S6,1,228757194,228757312
RNU6-52,13,19717122,19717217
MIR548F3,5,109849530,109849616
SNORD79,1,173834486,173834570
MIR4698,12,47581595,47581674
MIR15B,3,160122376,160122473
MIR148B,12,54731000,54731098
SNORA75,2,232320511,232320647
MIR3146,7,19744981,19745059
RNA5SP403,16,9658247,9658354
MIR4532,20,56470450,56470500
MIR1184-1,X,154612749,154612847
RNU6-48,1,27651710,27651816
RNA5SP408,16,34969743,34969842
RNA5SP405,16,26040233,26040346
MIR613,12,12917583,12917677
MIR133A1,18,19405659,19405746
MIR1471,2,232756952,232757008
MIR3920,11,101390551,101390636
RNA5SP86,2,20601388,20601485
MIR3185,17,46801770,46801837
MIR5088,19,50185328,50185411
RNA5SP215,6,121007767,121007888
MIR548U,6,57254930,57255010
MIR4728,17,37882748,37882814
MIR3199-2,22,28316513,28316600
MIR3199-1,22,28316513,28316600
MIR4290,9,92785723,92785817
MIR3135B,HSCHR6_MHC_SSTO,32808498,32808565
MIR4502,13,115039303,115039383
RNU5A-3P,8,30501206,30501319
MIR4792,3,24562853,24562926
SNORA5B,7,45145567,45145698
MIR4645,6,2854265,2854341
SNORA16B,1,212526158,212526292
MIR650,22,23165270,23165365
RNA5SP241,7,120723754,120723867
RNA5SP60,1,159148263,159148349
